test_index,k,label_ranking_average_precision,hit_at_k,mrr
0,1,0.13012477718360071,1,1.0
0,2,0.08467023172905525,1,1.0
0,3,0.06951871657754011,1,1.0
0,5,0.057397504456327984,1,1.0
0,10,0.0483065953654189,1,0.2
1,1,0.14159663865546218,1,1.0
1,2,0.17338935574229689,1,1.0
1,3,0.14957983193277308,1,1.0
1,5,0.20840336134453777,1,1.0
1,10,0.3070028011204481,1,1.0
2,1,0.1213235294117647,1,1.0
2,2,0.0900735294117647,1,1.0
2,3,0.07965686274509803,1,1.0
2,5,0.10490196078431373,1,1.0
2,10,0.14705882352941177,1,0.3333333333333333
3,1,0.15245098039215685,1,1.0
3,2,0.08995098039215686,1,1.0
3,3,0.06911764705882353,1,1.0
3,5,0.052450980392156864,1,0.5
3,10,0.07352941176470588,1,0.2
4,1,0.047058823529411764,0,0.5
4,2,0.047058823529411764,0,0.3333333333333333
4,3,0.07091503267973857,1,0.3333333333333333
4,5,0.05980392156862746,1,0.2
4,10,0.07254901960784314,1,0.5
5,1,0.14248366013071898,1,1.0
5,2,0.0869281045751634,1,1.0
5,3,0.06840958605664488,1,1.0
5,5,0.11633986928104575,1,0.5
5,10,0.07189542483660132,1,0.2
6,1,0.14248366013071898,1,1.0
6,2,0.2496732026143791,1,1.0
6,3,0.3568627450980392,1,1.0
6,5,0.22352941176470587,1,1.0
6,10,0.2934640522875817,1,0.3333333333333333
7,1,0.047058823529411764,0,0.1
7,2,0.047058823529411764,0,0.1
7,3,0.07091503267973857,1,0.3333333333333333
7,5,0.05980392156862746,1,0.2
7,10,0.05147058823529412,1,0.1111111111111111
8,1,0.12321981424148609,1,1.0
8,2,0.17192982456140352,1,1.0
8,3,0.2206398348813209,1,1.0
8,5,0.3180598555211558,1,1.0
8,10,0.304953560371517,1,0.5
9,1,0.13529411764705884,1,1.0
9,2,0.08529411764705883,1,1.0
9,3,0.06862745098039216,1,0.5
9,5,0.05529411764705881,1,0.3333333333333333
9,10,0.04529411764705882,1,0.25
10,1,0.12647058823529414,1,1.0
10,2,0.08480392156862747,1,1.0
10,3,0.07091503267973857,1,0.5
10,5,0.05980392156862746,1,0.3333333333333333
10,10,0.05147058823529412,1,0.16666666666666666
11,1,0.12450980392156867,1,1.0
11,2,0.17058823529411768,1,1.0
11,3,0.13725490196078433,1,0.5
11,5,0.2227450980392157,1,0.5
11,10,0.3670588235294117,1,0.5
12,1,0.04313725490196079,0,0.07142857142857142
12,2,0.08467023172905525,1,1.0
12,3,0.15650623885918002,1,1.0
